query,generated_answer,ground_truth,rouge_scores,search_attempts,answer_found,category
Apa itu Dexa Medica?,"Dexa Medica adalah salah satu perusahaan farmasi terbesar di Indonesia yang didirikan pada tahun 1969 di Palembang oleh Letkol apt. Drs. Rudy Soetikno. Perusahaan ini berfokus pada penelitian, pengembangan, dan produksi obat-obatan berkualitas tinggi untuk meningkatkan kesehatan masyarakat.","Dexa Medica adalah salah satu perusahaan farmasi terbesar di Indonesia yang didirikan
pada tahun 1969 di Palembang oleh Letkol apt. Drs. Rudy Soetikno. Perusahaan ini
berfokus pada penelitian, pengembangan, dan produksi obat-obatan berkualitas tinggi
untuk meningkatkan kesehatan masyarakat.","{'rouge1': 1.0, 'rouge2': 1.0, 'rougeL': 1.0}",1,True,Pertanyaan Umum Tentang Dexa Medica
Apa visi dari Dexa Medica?,"Visi Dexa Medica adalah menjadi perusahaan terkemuka yang berdedikasi memberikan nilai tambah signifikan bagi pelanggan, mitra bisnis, dan pemangku kepentingan melalui
- perasi efektif, efisien, dan berkelanjutan demi mencapai ""kesehatan bagi semua orang"".","Visi Dexa Medica adalah menjadi perusahaan terkemuka yang berdedikasi memberikan
nilai tambah signifikan bagi pelanggan, mitra bisnis, dan pemangku kepentingan melalui
operasi efektif, efisien, dan berkelanjutan demi mencapai ""kesehatan bagi semua orang"".","{'rouge1': 0.96875, 'rouge2': 0.9354838709677419, 'rougeL': 0.96875}",1,True,Pertanyaan Umum Tentang Dexa Medica
Apa saja nilai inti Dexa Medica?,"Nilai inti Dexa Medica adalah:
- Strive for Excellence (Keunggulan)
- Act Professionally (Profesionalisme)
- Deal with Care (Kepedulian)","Nilai inti Dexa Medica adalah:
o  Strive for Excellence (Keunggulan)
o  Act Professionally (Profesionalisme)
o  Deal with Care (Kepedulian)","{'rouge1': 0.9142857142857143, 'rouge2': 0.7272727272727272, 'rougeL': 0.9142857142857143}",1,True,Pertanyaan Umum Tentang Dexa Medica
Apa saja kompetensi inti Dexa Medica?,"Kompetensi inti Dexa Medica meliputi:
- Inovasi
- Pengelolaan sumber daya
- Aliansi strategis
- Manajemen perubahan","Kompetensi inti Dexa Medica meliputi:
Inovasi
o  Pengelolaan sumber daya
o
o  Aliansi strategis
o  Manajemen perubahan
Nama ""Dexa"" berasal dari bahasa Yunani ""δέκα"" yang berarti 10, melambangkan
kesempurnaan.","{'rouge1': 0.6341463414634146, 'rouge2': 0.46153846153846156, 'rougeL': 0.6341463414634146}",1,True,Pertanyaan Umum Tentang Dexa Medica
Apa itu OMAI?,OMAI (Obat Modern Asli Indonesia) adalah obat berbasis bahan alam Indonesia yang dikembangkan dengan teknologi modern. Dexa Medica telah memproduksi sebagian besar OMAI yang terdaftar di Indonesia.,"OMAI (Obat Modern Asli Indonesia) adalah obat berbasis bahan alam Indonesia yang
dikembangkan dengan teknologi modern. Dexa Medica telah memproduksi sebagian
besar OMAI yang terdaftar di Indonesia.","{'rouge1': 1.0, 'rouge2': 1.0, 'rougeL': 1.0}",1,True,Produk & Inovasi
Apa yang dimaksud dengan OGBdexa?,"OGBdexa adalah lini produk Obat Generik Berlogo yang diproduksi oleh Dexa Medica dan tersedia luas di Indonesia, termasuk dalam Jaminan Kesehatan Nasional (JKN).","OGBdexa adalah lini produk Obat Generik Berlogo yang diproduksi oleh Dexa Medica
dan tersedia luas di Indonesia, termasuk dalam Jaminan Kesehatan Nasional (JKN).","{'rouge1': 1.0, 'rouge2': 1.0, 'rougeL': 1.0}",1,True,Produk & Inovasi
Berapa jumlah obat yang telah diluncurkan Dexa Medica dalam 5 tahun terakhir?,"Lebih dari 50 obat baru telah diluncurkan dalam 5 tahun terakhir, dengan portofolio lebih dari 187 obat.","Lebih dari 50 obat baru telah diluncurkan dalam 5 tahun terakhir, dengan portofolio lebih
dari 187 obat.","{'rouge1': 1.0, 'rouge2': 1.0, 'rougeL': 1.0}",1,True,Produk & Inovasi
Apakah Dexa Medica memproduksi obat herbal?,"Ya, melalui divisi DLBS (Dexa Laboratories of Biomolecular Sciences), Dexa Medica mengembangkan obat herbal berbasis bahan aktif alami Indonesia.","Ya, melalui divisi DLBS (Dexa Laboratories of Biomolecular Sciences), Dexa Medica
mengembangkan obat herbal berbasis bahan aktif alami Indonesia.","{'rouge1': 1.0, 'rouge2': 1.0, 'rougeL': 1.0}",1,True,Produk & Inovasi
Apa itu DLBS?,DLBS adalah divisi riset Dexa Medica yang fokus pada pengembangan bahan aktif alami dari sumber hayati seperti tumbuhan dan mikroba.,"DLBS adalah divisi riset Dexa Medica yang fokus pada pengembangan bahan aktif alami
dari sumber hayati seperti tumbuhan dan mikroba.","{'rouge1': 1.0, 'rouge2': 1.0, 'rougeL': 1.0}",1,True,Produk & Inovasi
Di mana lokasi pabrik Dexa Medica?,"Dexa Medica memiliki pabrik di:
• Palembang (produksi padat dan sefalosporin)
• Cikarang (produksi API dan pusat riset)
• Karawang (produksi padat volume tinggi)","Dexa Medica memiliki pabrik di:
•  Palembang (produksi padat dan sefalosporin)
•  Cikarang (produksi API dan pusat riset)
•  Karawang (produksi padat volume tinggi)","{'rouge1': 1.0, 'rouge2': 1.0, 'rougeL': 1.0}",1,True,Fasilitas & Produksi
Apa itu Dexa Development Center (DDC)?,- DDC adalah pusat penelitian di Cikarang yang menampung hingga 250 ilmuwan dan mampu menghasilkan hingga 30 dosir per tahun.,"DDC adalah pusat penelitian di Cikarang yang menampung hingga 250 ilmuwan dan
mampu menghasilkan hingga 30 dosir per tahun.","{'rouge1': 1.0, 'rouge2': 1.0, 'rougeL': 1.0}",1,True,Fasilitas & Produksi
Apakah Dexa Medica memiliki sertifikasi CPOB?,"Ya, Dexa Medica adalah satu dari lima perusahaan farmasi yang memiliki sertifikasi Cara Pembuatan Obat yang Baik (CPOB).","Ya, Dexa Medica adalah satu dari lima perusahaan farmasi yang memiliki sertifikasi Cara
Pembuatan Obat yang Baik (CPOB).","{'rouge1': 1.0, 'rouge2': 1.0, 'rougeL': 1.0}",1,True,Fasilitas & Produksi
Berapa kapasitas produksi OGB Dexa Medica per tahun?,"Dexa Medica memproduksi lebih dari 1 miliar unit tablet, vial, dan ampul obat setiap tahun.","Dexa Medica memproduksi lebih dari 1 miliar unit tablet, vial, dan ampul obat setiap
tahun.","{'rouge1': 1.0, 'rouge2': 1.0, 'rougeL': 1.0}",1,True,Fasilitas & Produksi
